Month,America Tropical Interpretive Center,Avila Adobe,Chinese American Museum,Gateway to Nature Center,Firehouse Museum,Hellman Quon,IAMLA,Pico House ,Visitor Center/ El Tranquilo Gallery,Museum of Social Justice,Biscailuz Gallery/ PK Outdoor Exhibit
2017-07-01T00:00:00.000,8675,30831,2939,4227,5242,,1431,295,2771,,1156
2017-08-01T00:00:00.000,6212,27009,1784,2650,5379,,1194,635,2182,,862
2017-09-01T00:00:00.000,4607,23403,1704,1825,4484,,758,920,2130,,960
2017-10-01T00:00:00.000,6097,22164,2419,1250,4822,,1351,3580,,,536
2017-11-01T00:00:00.000,6757,17629,2685,1476,4613,,1088,415,,,1586
2017-12-01T00:00:00.000,6780,18339,2768,1316,4448,,1205,605,,,1292
2018-03-01T00:00:00.000,4909,19001,4529,,5225,,965,1645,,3348,1320
2018-02-01T00:00:00.000,5705,14718,2710,,3306,,1562,900,,3621,1148
2018-04-01T00:00:00.000,4650,18966,2750,,4535,,1109,1155,,2956,1790
2018-01-01T00:00:00.000,5837,16265,2477,,3910,,1069,,,3585,1141
2018-05-01T00:00:00.000,5626,25173,4960,,8013,,1601,250,,2332,1628
2018-06-01T00:00:00.000,4694,22171,2518,,4635,,1232,410,,2351,1434
2018-07-01T00:00:00.000,4718,23136,2620,,4191,,1323,327,,3686,1422
2018-08-01T00:00:00.000,3891,20815,2409,,4866,,1147,1119,,2604,1331
2018-09-01T00:00:00.000,3180,21020,2146,,4956,,1031,2140,,2670,926
2018-10-01T00:00:00.000,3775,19280,2364,,4622,,1159,1975,,3055,1210
2018-11-01T00:00:00.000,4562,17163,2385,,4082,,1078,1680,,2919,822
2018-12-01T00:00:00.000,4081,17722,2078,,4253,,1168,185,,2694,349
2019-01-01T00:00:00.000,3424,13958,2330,,3608,,837,4225,,2670,
2019-02-01T00:00:00.000,2907,10737,2371,,2900,,816,475,,2080,406
2019-03-01T00:00:00.000,4384,17056,3804,,5045,,1315,925,,2819,1038
2019-04-01T00:00:00.000,4830,21074,3484,2055,5204,,1336,,,1933,
2019-05-01T00:00:00.000,6230,26041,4570,2699,8202,,1883,290,,1959,
2019-06-01T00:00:00.000,3995,20226,2853,1065,4787,,1177,1800,,2557,933
2019-07-01T00:00:00.000,4491,24097,2271,999,4432,,1480,90,,2911,774
2019-08-01T00:00:00.000,3410,20921,2017,977,4460,,1258,120,,1701,872
2019-09-01T00:00:00.000,3229,17689,1458,1338,4293,,904,740,,2722,569
2019-10-01T00:00:00.000,4200,18822,1987,1269,4035,,1181,1080,,2878,871
2019-11-01T00:00:00.000,4362,15507,2808,1566,4385,,1472,225,,10740,1976
2019-12-01T00:00:00.000,2702,15398,2388,1211,3566,,1088,485,,1948,
2020-01-01T00:00:00.000,3508,15518,2603,695,3403,,1357,125,,2958,
2020-02-01T00:00:00.000,3075,12997,2425,652,3854,,1081,150,,2591,
2020-03-01T00:00:00.000,1062,4520,524,261,1052,,260,140,,373,
2020-04-01T00:00:00.000,0,0,0,0,0,,0,0,,0,
2020-05-01T00:00:00.000,0,0,0,0,0,,0,0,,0,
2020-06-01T00:00:00.000,0,0,0,0,0,,0,0,,0,
2020-07-01T00:00:00.000,0,0,0,0,0,,0,0,,0,
2020-08-01T00:00:00.000,0,0,0,0,0,,0,0,,0,
2020-09-01T00:00:00.000,0,0,0,0,0,,0,0,,0,
2020-10-01T00:00:00.000,0,0,0,0,0,,0,0,,0,2533
2020-11-01T00:00:00.000,0,0,0,0,0,,0,0,,0,3801
